state_code,area_code,areatype_code,area_name
26,2600003,M,Northwest Lower Peninsula of Michigan nonmetropolitan area
26,2600004,M,Balance of Lower Peninsula of Michigan nonmetropolitan area
27,0020260,M,"Duluth, MN-WI"
27,0031860,M,"Mankato-North Mankato, MN"
27,0033460,M,"Minneapolis-St. Paul-Bloomington, MN-WI"
27,0040340,M,"Rochester, MN"
27,0041060,M,"St. Cloud, MN"
27,2700000,S,Minnesota
27,2700001,M,Northwest Minnesota nonmetropolitan area
27,2700002,M,Northeast Minnesota nonmetropolitan area
27,2700003,M,Southwest Minnesota nonmetropolitan area
27,2700004,M,Southeast Minnesota nonmetropolitan area
28,0025060,M,"Gulfport-Biloxi-Pascagoula, MS"
28,0025620,M,"Hattiesburg, MS"
28,0027140,M,"Jackson, MS"
28,2800000,S,Mississippi
28,2800001,M,Northeast Mississippi nonmetropolitan area
28,2800002,M,Northwest Mississippi nonmetropolitan area
28,2800003,M,Southeast Mississippi nonmetropolitan area
28,2800004,M,Southwest Mississippi nonmetropolitan area
29,0016020,M,"Cape Girardeau, MO-IL"
29,0017860,M,"Columbia, MO"
29,0027620,M,"Jefferson City, MO"
29,0027900,M,"Joplin, MO"
29,0028140,M,"Kansas City, MO-KS"
29,0041140,M,"St. Joseph, MO-KS"
29,0041180,M,"St. Louis, MO-IL"
29,0044180,M,"Springfield, MO"
29,2900000,S,Missouri
29,2900001,M,Central Missouri nonmetropolitan area
29,2900002,M,North Missouri nonmetropolitan area
29,2900003,M,Southeast Missouri nonmetropolitan area
29,2900004,M,Southwest Missouri nonmetropolitan area
30,0013740,M,"Billings, MT"
30,0024500,M,"Great Falls, MT"
30,0033540,M,"Missoula, MT"
30,3000000,S,Montana
30,3000003,M,Southwest Montana nonmetropolitan area
30,3000004,M,West Montana nonmetropolitan area
30,3000006,M,East-Central Montana nonmetropolitan area
31,0024260,M,"Grand Island, NE"
31,0030700,M,"Lincoln, NE"
31,0036540,M,"Omaha-Council Bluffs, NE-IA"
31,3100000,S,Nebraska
31,3100001,M,Northwest Nebraska nonmetropolitan area
31,3100003,M,Northeast Nebraska nonmetropolitan area
31,3100006,M,South Nebraska nonmetropolitan area
32,0016180,M,"Carson City, NV"
32,0029820,M,"Las Vegas-Henderson-Paradise, NV"
32,0039900,M,"Reno, NV"
32,3200000,S,Nevada
32,3200006,M,Nevada nonmetropolitan area
33,0073050,M,"Dover-Durham, NH-ME"
33,0074950,M,"Manchester, NH"
33,0076900,M,"Portsmouth, NH-ME"
33,3300000,S,New Hampshire
33,3300001,M,Northern New Hampshire nonmetropolitan area
33,3300002,M,Central New Hampshire nonmetropolitan area
33,3300006,M,West Central-Southwest New Hampshire nonmetropolitan area
34,0012100,M,"Atlantic City-Hammonton, NJ"
34,0036140,M,"Ocean City, NJ"
34,0045940,M,"Trenton, NJ"
34,0047220,M,"Vineland-Bridgeton, NJ"
34,3400000,S,New Jersey
35,0010740,M,"Albuquerque, NM"
35,0022140,M,"Farmington, NM"
35,0029740,M,"Las Cruces, NM"
35,0042140,M,"Santa Fe, NM"
35,3500000,S,New Mexico
35,3500006,M,Northern New Mexico nonmetropolitan area
35,3500007,M,Eastern New Mexico nonmetropolitan area
36,0010580,M,"Albany-Schenectady-Troy, NY"
36,0013780,M,"Binghamton, NY"
36,0015380,M,"Buffalo-Cheektowaga-Niagara Falls, NY"
36,0021300,M,"Elmira, NY"
36,0024020,M,"Glens Falls, NY"
36,0027060,M,"Ithaca, NY"
36,0028740,M,"Kingston, NY"
36,0035620,M,"New York-Newark-Jersey City, NY-NJ-PA"
36,0040380,M,"Rochester, NY"
36,0045060,M,"Syracuse, NY"
36,0046540,M,"Utica-Rome, NY"
36,0048060,M,"Watertown-Fort Drum, NY"
36,3600000,S,New York
36,3600001,M,Capital/Northern New York nonmetropolitan area
36,3600004,M,Southwest New York nonmetropolitan area
36,3600006,M,Central East New York nonmetropolitan area
37,0011700,M,"Asheville, NC"
37,0015500,M,"Burlington, NC"
37,0016740,M,"Charlotte-Concord-Gastonia, NC-SC"
37,0020500,M,"Durham-Chapel Hill, NC"
37,0022180,M,"Fayetteville, NC"
37,0024140,M,"Goldsboro, NC"
37,0024660,M,"Greensboro-High Point, NC"
37,0024780,M,"Greenville, NC"
37,0025860,M,"Hickory-Lenoir-Morganton, NC"
37,0027340,M,"Jacksonville, NC"
37,0035100,M,"New Bern, NC"
37,0039580,M,"Raleigh, NC"
37,0040580,M,"Rocky Mount, NC"
37,0048900,M,"Wilmington, NC"
37,0049180,M,"Winston-Salem, NC"
37,3700000,S,North Carolina
37,3700001,M,Southeast Coastal North Carolina nonmetropolitan area
37,3700002,M,Northeast Coastal North Carolina nonmetropolitan area
37,3700003,M,Piedmont North Carolina nonmetropolitan area
37,3700004,M,Mountain North Carolina nonmetropolitan area
38,0013900,M,"Bismarck, ND"
38,0022020,M,"Fargo, ND-MN"
38,0024220,M,"Grand Forks, ND-MN"
38,3800000,S,North Dakota
38,3800006,M,West North Dakota nonmetropolitan area
38,3800007,M,East North Dakota nonmetropolitan area
39,0010420,M,"Akron, OH"
39,0015940,M,"Canton-Massillon, OH"
39,0017140,M,"Cincinnati, OH-KY-IN"
39,0017460,M,"Cleveland-Elyria, OH"
39,0018140,M,"Columbus, OH"
39,0019380,M,"Dayton, OH"
39,0030620,M,"Lima, OH"
39,0031900,M,"Mansfield, OH"
39,0044220,M,"Springfield, OH"
39,0045780,M,"Toledo, OH"
39,0049660,M,"Youngstown-Warren-Boardman, OH-PA"
39,3900000,S,Ohio
39,3900001,M,West Northwestern Ohio nonmetropolitan area
39,3900002,M,North Northeastern Ohio nonmetropolitan area
39,3900003,M,Eastern Ohio nonmetropolitan area
39,3900004,M,Southern Ohio nonmetropolitan area
40,0021420,M,"Enid, OK"
40,0030020,M,"Lawton, OK"
40,0036420,M,"Oklahoma City, OK"
40,0046140,M,"Tulsa, OK"
40,4000000,S,Oklahoma
40,4000001,M,Northeast Oklahoma nonmetropolitan area
40,4000002,M,Northwest Oklahoma nonmetropolitan area
40,4000003,M,Southwest Oklahoma nonmetropolitan area
40,4000004,M,Southeast Oklahoma nonmetropolitan area
41,0010540,M,"Albany, OR"
41,0013460,M,"Bend-Redmond, OR"
41,0018700,M,"Corvallis, OR"
41,0021660,M,"Eugene, OR"
41,0024420,M,"Grants Pass, OR"
41,0032780,M,"Medford, OR"
41,0038900,M,"Portland-Vancouver-Hillsboro, OR-WA"
41,0041420,M,"Salem, OR"
41,4100000,S,Oregon
41,4100006,M,Coast Oregon nonmetropolitan area
41,4100007,M,Central Oregon nonmetropolitan area
41,4100008,M,Eastern Oregon nonmetropolitan area
42,0010900,M,"Allentown-Bethlehem-Easton, PA-NJ"
42,0011020,M,"Altoona, PA"
42,0014100,M,"Bloomsburg-Berwick, PA"
42,0016540,M,"Chambersburg-Waynesboro, PA"
42,0020700,M,"East Stroudsburg, PA"
42,0021500,M,"Erie, PA"
42,0023900,M,"Gettysburg, PA"
42,0025420,M,"Harrisburg-Carlisle, PA"
42,0027780,M,"Johnstown, PA"
42,0029540,M,"Lancaster, PA"
42,0030140,M,"Lebanon, PA"
42,0037980,M,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
42,0038300,M,"Pittsburgh, PA"
42,0039740,M,"Reading, PA"
42,0042540,M,"Scranton--Wilkes-Barre--Hazleton, PA"
42,0044300,M,"State College, PA"
42,0048700,M,"Williamsport, PA"
42,0049620,M,"York-Hanover, PA"
42,4200000,S,Pennsylvania
42,4200001,M,Western Pennsylvania nonmetropolitan area
42,4200002,M,Northern Pennsylvania nonmetropolitan area
42,4200003,M,Southern Pennsylvania nonmetropolitan area
44,0077200,M,"Providence-Warwick, RI-MA"
44,4400000,S,Rhode Island
45,0016700,M,"Charleston-North Charleston, SC"
45,0017900,M,"Columbia, SC"
45,0022500,M,"Florence, SC"
45,0024860,M,"Greenville-Anderson-Mauldin, SC"
45,0025940,M,"Hilton Head Island-Bluffton-Beaufort, SC"
45,0034820,M,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
45,0043900,M,"Spartanburg, SC"
45,0044940,M,"Sumter, SC"
45,4500000,S,South Carolina
45,4500002,M,Upper Savannah South Carolina nonmetropolitan area
45,4500004,M,Lower Savannah South Carolina nonmetropolitan area
45,4500006,M,Northeast South Carolina nonmetropolitan area
46,0039660,M,"Rapid City, SD"
46,0043620,M,"Sioux Falls, SD"
46,4600000,S,South Dakota
46,4600002,M,East South Dakota nonmetropolitan area
46,4600003,M,West South Dakota nonmetropolitan area
47,0016860,M,"Chattanooga, TN-GA"
47,0017300,M,"Clarksville, TN-KY"
47,0017420,M,"Cleveland, TN"
47,0027180,M,"Jackson, TN"
47,0027740,M,"Johnson City, TN"
